WoRMS_AphiaID_Valid,ScientificName_WoRMS
465693,Acanthascus (Rhabdocalyptus) mirabilis
107398,Macropipus puber
107160,Munida rugosa
532035,Gracilechinus elegans
138636,Dosinia
510534,Echinidea
140431,Mya truncata
123813,Stichastrella rosea
107392,Liocarcinus navigator
124321,Strongylocentrotus droebachiensis
151302,Perca cernua
125996,Neogobius
126639,Halosauropsis macrochir
183099,Coryphaenoides mediterraneus
127358,Malacosteus niger
126486,Antimora rostrata
126681,Alepocephalus agassizii
105879,Neoraja caerulea
126745,Normichthys operosus
127122,Pachycara crassiceps
126327,Simenchelys parasitica
126709,Rouleina attrita
105808,Apristurus manis
127334,Borostomias antarcticus
105827,Hydrolagus pallidus
127278,Scopelogadus beanii
105809,Apristurus microps
280299,Coelorinchus labiatus
158958,Coryphaenoides guentheri
105829,Harriotta raleighana
126393,Anoplogaster cornuta
105867,Bathyraja richardsoni
126483,Melanonus zugmayeri
126657,Cataetyx laticeps
126687,Bajacalifornia megalops
126319,Serrivomer beanii
126398,Diretmus argenteus
126739,Holtbyrnia anomala
126645,Polyacanthonotus rissoanus
105807,Apristurus laurussonii
127110,Lycodes pallidus
126678,Spectrunculus grandis
126695,Conocara macropterum
126359,Magnisudis atlantica
105806,Apristurus aphyodes
127237,Cottunculus thomsonii
126161,Paraliparis
NULL,Plantae
271345,Apristurus melanoasper
126642,Notacanthus bonaparte
126840,Chiasmodon niger
105864,Amblyraja jenseni
126325,Ilyophis blachei
126310,Venefica proboscidea
126369,Bathysaurus ferox
126342,Bathypterois dubius
105825,Hydrolagus affinis
138265,Bathypolypus
127160,Solea vulgaris
125617,Zeidae
167039,Corvomeyenia carolinensis
126927,Pomatoschistus microps microps
105911,Etmopterus princeps
281518,Manducus maderensis
126995,Howella sherborni
271509,Bathyraja brachyurops
125882,Rouleina
126684,Alepocephalus rostratus
105893,Rajella bigelowi
126630,Symbolophorus veranyi
127120,Melanostigma atlanticum
126204,Borostomias
125500,Halosauridae
126683,Alepocephalus productus
125672,Scopelosaurus
126496,Lepidion schmidti
105877,Malacoraja kreffti
127117,Lycodes terraenovae
127377,Trigonolampa miriceps
126706,Narcetes stomias
105920,Somniosus rostratus
126743,Maulisia microlepis
126711,Talismania antillarum
105915,Oxynotus paradoxus
126538,Cryptopsaras couesii
126292,Nessorhamphus ingolfianus
398363,Sigmops bathyphilus
105908,Centroscymnus crepidater
712407,Chimaera opalescens
101163,Petromyzontidae
300719,Gadiculus thori
151324,Sebastes norvegicus
107393,Liocarcinus pusillus
105869,Dipturus intermedia
105869,Dipturus flossada
107342,Macropodia longipes
107399,Polybius henslowii
883,Polychaeta
105814,Sciliorhinus caniculus
107350,Maia squinado
117940,Thuiaria thuja
106849,Anapagurus
117644,Hydractinia echinata
117994,Tubularia indivisa
117809,Nemertesia antennina
1839,Ascidiacea
124154,Crossaster papposus
100982,Metridium senile
107346,Macropodia tenuirostris
138902,Colus islandicus
107564,Pontophilus spinosus
107281,Thia scutellata
111597,Alcyonidium diaphanum
123494,Thyone
100706,Urticina
181228,Doris pseudoargus
124710,Psolus phantapus
125166,Porania (Porania) pulvillus
123479,Cucumaria
129379,Nereis
130989,Filograna implexa
138938,Volutopsius norwegicus
141433,Abra alba
107188,Pisidia longicornis
111453,Reteporella grimaldii
140300,Spisula elliptica
416648,Tritonia hombergii
140717,Pseudamussium peslutrae
236719,Mimachlamys varia
140430,Mya arenaria
123503,Thyonidium
134285,Suberites ficus
131543,Thelepus cincinnatus
103471,Aplidium
107531,Spirontocaris liljeborgii
164811,Demospongiae
117815,Nemertesia ramosa
117890,Hydrallmania falcata
106834,Galathea
140529,Euspira fusca
107273,Atelecyclus rotundatus
123922,Luidia sarsii
130464,Hyalinoecia tubicola
141911,Dosinia exoleta
140528,Euspira catena
129491,Harmothoe
100751,Adamsia
138855,Beringius turtoni
165801,Halichondria (Halichondria) bowerbanki
150237,Suberites pagurorum
1337,Hydrozoa
132480,Axinella infundibuliformis
140735,Ensis siliqua
138824,Astarte sulcata
231751,Halecium halecinum
1292,Anthozoa
106057,Balanidae
140143,Lepidochitona (Lepidochitona) cinerea
123920,Luidia ciliaris
107345,Macropodia rostrata
150642,Epizoanthus incrustatus
135259,Cyanea
136135,Rissoides desmaresti
165853,Halichondria (Halichondria) panicea
135304,Chrysaora hysoscella
116986,Pontobdella muricata
107301,Ebalia tuberosa
223866,Salmo trutta trutta
100930,Actinauge richardi
132046,Polymastia
107374,Geryon trispinosus
138912,Liomesus ovum
100817,Bolocera tuediae
100951,Hormathia digitata
138930,Troschelia berniciensis
106918,Geryon
116943,Pontobdella
410724,Golfingia (Golfingia) vulgaris vulgaris
138584,Calliostoma
100790,Epizoanthus
103717,Ascidia virginea
125080,Amphiura filiformis
129520,Sabellaria
107079,Upogebia
138823,Astarte montagui
141872,Turritella communis
141929,Timoclea ovata
107333,Inachus phalangium
140589,Nucula nitidosa
236130,Acrocnida brachiata
124273,Echinocyamus pusillus
101864,Phtisica marina
141607,Teredo navalis
140103,Hiatella arctica
107729,Callianassa subterranea
103732,Ciona intestinalis
106889,Ebalia
111604,Alcyonidium parasiticum
117228,Diphasia
140464,Modiolus barbatus
116999,Aglaophenia
123244,Pontaster
107441,Xantho pilipes
130801,Lepidonotus squamatus
126220,Stomias
157039,Antalis entale stimpsoni
123970,Henricia oculata
100854,Stomphia coccinea
103788,Molgula manhattensis
107154,Galathea squamifera
140513,Nassarius reticulatus
122641,Malacobdella grossa
140627,Acanthodoris pilosa
101160,Priapulus caudatus
107739,Upogebia deltaura
246149,Polititapes
140590,Nucula nucleus
124612,Cucumaria frondosa
107563,Pontophilus norvegicus
106048,Lepadidae
132072,Suberites
100681,Sagartiidae
135144,Caryophyllia (Caryophyllia) smithii
140295,Lutraria lutraria
155156,Lygdamis murata
140105,Panomya norvegica
181364,Venerupis corrugata
150520,Nymphon brevirostre
106903,Hyas
130387,Neanthes fucata
124465,Leptosynapta inhaerens
123260,Luidia
103894,Pelonaia corrugata
100834,Urticina felina
124147,Pteraster militaris
140767,Barnea candida
100994,Sagartia troglodytes
138990,Acanthocardia aculeata
140474,Musculus niger
107294,Ebalia cranchii
138339,Philine
130987,Ditrupa arietina
107562,Philocheras trispinosus
107072,Callianassa
137650,Anomia
140771,Zirfaea crispata
141587,Tellina fabula
105811,Galeus atlanticus
1135,Amphipoda
107278,Pirimela denticulata
140283,Lucinoma borealis
107230,Pagurus alatus
135306,Aurelia aurita
137683,Astarte
107199,Diogenes pugilator
138474,Abra
1131,Isopoda
141875,Turtonia minuta
293624,Liparis liparis liparis
395239,Adamsia
126433,Boreogadus saida
158988,Phycis chesteri
125523,Carangidae
125736,Pollachius
159459,Aspidophoroides monopterygius
126088,Lumpenus
127198,Gymnocanthus tricuspis
126735,Mallotus villosus
158669,Alosa pseudoharengus
126539,Chaunax pictus
159409,Hoplostethus mediterraneus mediterraneus
293632,Mullus barbatus barbatus
125027,Ophiocomina nigra
123856,Astropecten aranciacus
127233,Peristedion cataphractum
139024,Galeodea rugosa
127304,Vinciguerria poweriae
107157,Munida intermedia
236487,Auxis rochei rochei
271684,Torpedo marmorata
136137,Squilla mantis
119930,Gnathophausia zoea
107651,Pandalus montagui
254529,Myoxocephalus quadricornis
126124,Scophthalmus
138267,Eledone
138267,Eledone
106673,Brachyura
123080,Asteroidea
100635,Polymorphus botulus
236461,Scomberesox saurus saurus
129229,Chaetopterus
107477,Alpheus glaber
443,Trochidae
137735,Cerastoderma
107358,Pisa tetraodon
129196,Laetmonice
107318,Eurynome aspera
125366,Eunicella verrucosa
271509,Raja brachyura
138481,Rossia
123386,Echinus
117195,Nemertesia
139523,Dendronotus frondosus
146142,Bryozoa
123386,Echinus
123386,Echinus
123386,Echinus
123386,Echinus
123386,Echinus
123386,Echinus
153083,Rossia palpebrosa
106669,Dendrobranchiata
123177,Spatangidae
110342,Echiuroidea
110731,Bugulidae
111361,Eucratea loricata
123200,Ophiuridae
106687,Paguroidea
106148,Lepas fascicularis
106215,Balanus crenatus
123335,Pteraster
134591,Nymphon
106782,Crangonidae
107559,Pontophilus fasciatus
124670,Thyone fusus
110956,Sertella
141457,Sepiola ligulata
141448,Rondeletiola minor
107041,Dichelopandalus
124934,Ophiura sarsi
111411,Membranipora membranacea
103743,Corella parallelogramma
107052,Pasiphaea
1128,Euphausiacea
110749,Flustridae
107148,Galathea dispersa
107011,Pontophilus
106702,Portunoidea
106994,Spirontocaris
123851,Pontaster tenuispinus
181368,Teredo norvagicus
103674,Polyclinum aurantium
125158,Leptasterias muelleri
124419,Spatangus raschi
123987,Asterina gibbosa
107643,Dichelopandalus bonnieri
151894,Euspira nitida
103926,Styela canopus
138239,Euspira
140733,Ensis ensis
138675,Acanthochitona crinita
137732,Acanthocardia
130770,Harmothoe impar
123480,Havelockia
118852,Eurydice pulchra
124850,Ophiocten affinis
134282,Suberites domuncula
106760,Majidae
233,Solenidae
102145,Epimeria cornigera
140571,Striarca lactea
110956,Reteporella
107737,Jaxea nocturna
250081,Botrylloides leachii
107353,Pisa armata
131888,Raspailia
123206,Amphiuridae
106791,Processidae
107341,Macropodia linaresi
145984,Ulva lactuca
107258,Dromia personata
138036,Gonatus
134121,Cliona celata
110910,Chartella
230,Mactridae
236458,Diplecogaster bimaculata bimaculata
134311,Tethya aurantium
103448,Molgulidae
138992,Cardium echinatum
105905,Deania profundorum
236452,Lestidiops jayakari
272278,Spratelloides lewisi
127301,Polymetme thaeocoryla
126580,Benthosema glaciale
103483,Ascidia
126463,Bathygadus melanobranchus
126842,Kali macrura
126865,Nesiarchus nasutus
127423,Neocyttus helgae
126749,Searsia koefoedi
126181,Melamphaes
105866,Bathyraja pallida
126638,Aldrovandia phalacra
127422,Allocyttus verrucosus
123430,Spatangus
124661,Pseudothyone raphanus
107726,Calocaris macandreae
141595,Angulus tenuis
141905,Velutina velutina
126180,Trigla
126131,Pegusa
154461,Trigloporus
106733,Galatheidae
215,Ostreidae
19494,Hydroidolina
150672,Pentapora foliacea
150629,Echiichthys
110735,Cellariidae
126178,Chelidonichthys
136112,Rissoides
574582,Philine quadripartita
150636,Eutrigla
158351,Pandalus propinqvus
110783,Alcyonidiidae
125073,Amphiura chiajei
243,Veneridae
139951,Diodora graeca
125161,Asterias rubens
103791,Molgula occulta
117870,Abietinaria abietina
138961,Calyptraea chinensis
141741,Trivia arctica
141906,Callista chione
105837,Cetorhinus maximus
143755,Laminariaceae
141753,Calliostoma granulatum
125134,Ophiothrix luetkeni
125131,Asteria cuvieri
510534,Echinoida
100653,Actiniidae
150534,Antalis entalis
100805,Actinia fragacea
106888,Goneplax
135299,Rhizostoma pulmo
110911,Flustra
107032,Palaemon
140656,Crassostrea gigas
1248,Ctenophora
158417,Hemigrapsus sanguineus
151743,Gobioidei
NULL,Plantae
NULL,Plantae
107479,Alpheus macrocheles
