"","sample.id","length","age","sex","maturity","ungutted","gutted","liver","gonad"
"1",427959,84,8,"Males","3",5698,4859,190,376
"2",389891,40,2,"Females","1",536,479,12,NA
"3",183624,102,10,"Males","3",8720,7030,426,871
"4",325208,100,8,"Females","4",9075,7780,293,NA
"5",320019,63,8,"Females","2",2474,1929,171,281
"6",335889,97,10,"Males","4",7665,6830,296,NA
"7",220013,38,3,"Females","1",412,389,3,NA
"8",227171,59,NA,"Females","1",1735,1350,135,NA
"9",203972,28,3,"Males","1",194,158,11,NA
"10",430505,85,8,"Males","3",5655,4790,280,460
"11",67790,70,6,"Females","2",3548,2811,177,366
"12",358503,62,5,"Males","1",1824,1544,57,NA
"13",411301,95,8,"Females","5",11070,8205,707,95
"14",300914,76,7,"Males","2",3890,3184,223,221
"15",174161,70,5,"Females","4",3830,3302,137,15
"16",394866,89,5,"Males","2",8300,5875,490,795
"17",373702,81,NA,NA,NA,4000,NA,NA,NA
"18",426786,73,5,"Males","3",3716,2992,220,366
"19",420632,81,6,"Females","4",4483,3972,108,16
"20",365034,55,5,"Males","1",1384,1207,80,NA
"21",173745,70,3,"Females","4",2992,2393,207,NA
"22",112753,70,6,"Males","1",2864,2464,207,NA
"23",15567,62,NA,NA,NA,2500,2100,NA,NA
"24",300370,79,7,"Males","2",4178,3298,190,471
"25",268904,49,4,"Females","1",1052,913,65,NA
"26",368680,104,11,"Males","3",10225,7545,775,1530
"27",96386,59,5,"Females","1",1703,1549,15,NA
"28",211353,61,5,"Females","1",1990,1826,NA,NA
"29",357812,56,5,"Females","1",1601,1316,200,NA
"30",280554,59,6,"Males","1",1861,1567,101,NA
"31",173032,57,6,"Females","1",1867,1621,108,NA
"32",294918,42,3,"Females","1",667,589,28,NA
"33",334200,99,10,"Females","22",11425,8310,484,1918
"34",400416,102,9,"Females","4",9720,8245,788,NA
"35",63033,67,5,"Males","2",2814,2273,235,194
"36",88984,72,NA,"Males","3",3464,2646,171,540
"37",432513,82,7,"Males","4",5050,4460,150,NA
"38",385680,59,5,"Males","1",1707,1495,62,NA
"39",436108,58,4,"Females","1",1633,1447,75,NA
"40",31540,119,NA,"Females","3",20208,13731,NA,NA
"41",67205,81,6,"Males","1",5112,4114,361,NA
"42",346157,96,10,"Females","2",8385,6745,579,729
"43",25462,23,2,NA,"1",100,91,NA,NA
"44",302933,70,5,"Males","5",4104,3676,154,NA
"45",330826,69,6,"Females","1",2470,2130,145,NA
"46",87568,76,7,"Males","2",4320,3498,212,468
"47",93019,94,7,"Females","2",9165,7590,NA,NA
"48",219564,57,5,"Males","2",1471,1308,41,NA
"49",214858,7.7,NA,NA,NA,3.2,NA,NA,NA
"50",17753,46,NA,"Males",NA,820,740,NA,NA
"51",114961,41,3,"Males","1",615,540,24,NA
"52",205076,72,NA,"Males","1",2926,2410,215,NA
"53",324991,48,5,"Males","1",748,687,15,NA
"54",145816,91,9,"Males","4",6055,5306,233,NA
"55",280970,69,6,"Males","2",2878,2441,116,171.9
"56",67736,76,7,"Males","2",4280,2991,375,794
"57",331070,64,6,"Males","2",2635,2130,165,220
"58",246140,47,3,"Females","1",763,683,18,NA
"59",327048,49,2,NA,NA,1172,NA,NA,NA
"60",383689,88,8,"Males","3",6275,5249,326,160
"61",184125,77,6,"Females","3",4406,3318,280,629
"62",71755,68,7,"Males","1",2910,2415,304,NA
"63",394998,48,4,"Females","1",1052,885,86,NA
"64",420642,33,2,"Males","1",391,343,8,NA
"65",209874,78,7,"Females","2",5122,3980,516,417
"66",280232,96,10,"Males","2",9619.9,6905,434,1717
"67",103603,97,8,"Females","2",10510,7555,NA,NA
"68",144538,103,8,"Females","2",10555,8285,528,946
"69",83952,75,6,"Females","4",4158,3462,335,NA
"70",268906,22,1,"Females","1",84,75,2,NA
"71",420662,75,6,"Males","4",3732,2965,151,NA
"72",184221,87,7,"Females","5",5244,4504,307,NA
"73",385553,96,NA,"Females","4",7525,6115,NA,NA
"74",263481,76,NA,"Females","1",3248,2914,114,NA
"75",394696,91,9,"Females","2",7945,6445,668,555
"76",243642,72,NA,NA,NA,2714,2414,NA,NA
"77",101250,73,6,"Males","2",3858,3128,167,441
"78",124442,91,8,"Females","3",8585,6545,627,NA
"79",308675,58,7,"Males","3",1888,1644,63,72
"80",335257,98,9,"Females","2",10640,7120,1125.9,1956
"81",148454,85,7,"Females","2",6110,4650,446,695
"82",96474,61,4,"Males","2",1771,1510,115,18
"83",120604,87,8,"Females","2",6865,5664,402,642
"84",73546,54,5,"Males","1",1387,1183,146,NA
"85",72480,54,3,"Females","1",1431,1326,NA,NA
"86",408477,56,4,"Males",NA,2060,NA,NA,NA
"87",196438,43,3,"Males","1",662,587,22,NA
"88",117774,52,4,"Males","1",1181,1094,NA,NA
"89",126570,64,6,"Females","2",2195,1708,79,218
"90",368823,82,8,"Males","3",5280,4330,245,414
"91",1e+05,66,5,"Males","1",2202,1960,139,NA
"92",67140,38,3,"Females","1",465,409,25,NA
"93",411686,51,4,"Females","1",1361,1193,45,NA
"94",369330,67,6,"Females","3",2366,1909,168,NA
"95",71743,30,2,"Females","1",234,202,9,NA
"96",140387,28,2,"Females","1",215,191,10,NA
"97",247956,72,5,"Males","4",2812,2626,41,NA
"98",97879,60,4,"Females","1",1771,1653,NA,NA
"99",123138,99,8,"Females","22",11655,8925,720,1624
"100",115989,90,8,"Males","3",8435,5928,NA,NA
"101",62648,45,3,"Females","1",623,560,17,NA
"102",254314,41,3,"Males","1",572,493,47,NA
"103",325181,65,5,"Females","1",2154,1950,93,NA
"104",265656,73,NA,"Females","1",2943,2548,NA,NA
"105",394494,49,4,"Females","1",910,845,6,NA
"106",381254,98,9,"Males","2",8925,6560,642,1393
"107",243878,55,NA,"Females","1",1526,1265,63,NA
"108",189618,101,8,NA,NA,13780,NA,NA,NA
"109",192245,4.9,NA,NA,NA,0.8,NA,NA,NA
"110",214727,5.9,NA,NA,NA,1.5,NA,NA,NA
"111",300817,66,5,"Females","2",2716,2254,166,126
"112",67491,69,5,"Females","1",2745,2071,62,NA
"113",44360,96,NA,"Females","2",10480,8340,NA,NA
"114",73254,45,4,"Males","1",890,742,18,NA
"115",280783,83,6,"Females","2",6040,5080,171.9,153
"116",162467,38,3,"Males","1",434,403,15,NA
"117",435914,44,3,"Males","1",695,651,10,NA
"118",187100,66,5,"Males","2",2669,2164,214,204
"119",62496,86,8,"Females","2",6190,5016,443,337
"120",403186,76,7,"Males","4",3428,3117,71,NA
"121",17742,73,NA,NA,NA,3200,3000,NA,NA
"122",246105,81,9,"Males","4",5572,4760,263,NA
"123",156142,58,4,"Females","1",1831,1485,111,NA
"124",129471,73,NA,"Males","3",3170,2750,146,156
"125",204046,38,3,"Males","1",581,520,22,NA
"126",247599,69,8,"Males","1",2892,2556,NA,NA
"127",123675,95,10,"Males","4",6860,6090,431,NA
"128",100862,97,NA,"Females","2",10190,7565,785,1287
"129",340030,77,6,"Males","4",4410,2745,295,NA
"130",301417,53,6,"Males","1",1169,1052,64,NA
"131",204157,67,6,"Males","2",2474,1893,113,271
"132",260418,87,7,"Males","2",7425,5994,480,585
