eurostat,ices19502010,ices19031949,eurostat_long,comment
27,ICES Area (not specified),,"Atlantic, Northeast",
27_1,I (not specified),I,"Atlantic, Northeast / 27.1",
27_1_A,I a,,"Atlantic, Northeast / 27.1.a",
27_1_B,I b,,"Atlantic, Northeast / 27.1.b",
27_1_NK,,,"Atlantic, Northeast / 27.1 (not specified)",
27_10,,,"Atlantic, Northeast / 27.10",
27_10_A,,,"Atlantic, Northeast / 27.10.a",
27_10_A_1,,,"Atlantic, Northeast / 27.10.a.1",
27_10_A_2,,,"Atlantic, Northeast / 27.10.a.2",
27_10_A_NK,X a (not specified),,"Atlantic, Northeast / 27.10.a (not specified)",
27_10_B,X b,,"Atlantic, Northeast / 27.10.b",
27_10_NK,X (not specified),,"Atlantic, Northeast / 27.10 (not specified)",
27_12,,,"Atlantic, Northeast / 27.12",
27_12_A,,,"Atlantic, Northeast / 27.12.a",
27_12_A_1,XII a1,,"Atlantic, Northeast / 27.12.a.1",
27_12_A_2,,,"Atlantic, Northeast / 27.12.a.2",
27_12_A_3,XII a3,,"Atlantic, Northeast / 27.12.a.3",
27_12_A_4,,,"Atlantic, Northeast / 27.12.a.4",
27_12_A_NK,XII a (not specified),,"Atlantic, Northeast / 27.12.a (not specified)",
27_12_B,XII b,,"Atlantic, Northeast / 27.12.b",
27_12_C,,,"Atlantic, Northeast / 27.12.c",
27_12_NK,XII (not specified),,"Atlantic, Northeast / 27.12 (not specified)",
27_14,,XIV,"Atlantic, Northeast / 27.14",
27_14_A,XIV a,,"Atlantic, Northeast / 27.14.a",
27_14_B,,,"Atlantic, Northeast / 27.14.b",
27_14_B_1,XIV b1,,"Atlantic, Northeast / 27.14.b.1",
27_14_B_2,XIV b2,,"Atlantic, Northeast / 27.14.b.2",
27_14_B_NK,XIV b (not specified),,"Atlantic, Northeast / 27.14.b (not specified)",
27_14_NK,XIV (not specified),,"Atlantic, Northeast / 27.14 (not specified)",
27_2,II (not specified),,"Atlantic, Northeast / 27.2",
27_2_A,II a (not specified),IIa,"Atlantic, Northeast / 27.2.a",
27_2_A_1,II a1,,"Atlantic, Northeast / 27.2.a.1",
27_2_A_2,II a2,,"Atlantic, Northeast / 27.2.a.2",
27_2_A_NK,,IIb,"Atlantic, Northeast / 27.2.a (not specified)",
27_2_B,II b (not specified),,"Atlantic, Northeast / 27.2.b",
27_2_B_1,II b1,,"Atlantic, Northeast / 27.2.b.1",
27_2_B_2,II b2,,"Atlantic, Northeast / 27.2.b.2",
27_2_B_NK,,,"Atlantic, Northeast / 27.2.b (not specified)",
27_2_NK,,,"Atlantic, Northeast / 27.2 (not specified)",
27_3,III (not specified),III,"Atlantic, Northeast / 27.3",
27_3_A,III a,IIIa,"Atlantic, Northeast / 27.3.a",
27_3_A-C,,IIIa-c,,added
27_3_AB,,"IIIa,b",,added
27_3_AC,,"IIIa,c",,added
27_3_ACD,,"IIIa,c,d",,added
27_3_A-4_AB_NK,,,"Atlantic, Northeast / from 27.3.a to 27.4.a.b (not specified)",
27_3_B,,IIIb,"Atlantic, Northeast / 27.3.b",
27_3_B_23,III b  Baltic 23,,"Atlantic, Northeast / 27.3.b.23",
27_3_B-D,III b-d (not specified),IIIb-d,"Atlantic, Northeast / 27.3.b and d",
27_3_B-D_NK,,,"Atlantic, Northeast / 27.3.b and d (not specified)",
27_3_BC,III b+c (not specified),,"Atlantic, Northeast / 27.3.b and c",
27_3_BC_NK,,,"Atlantic, Northeast / 27.3.b and c (not specified)",
27_3_BD,,"IIIb,d",,added
27_3_C,,IIIc,"Atlantic, Northeast / 27.3.c",
27_3_CD,,"IIIc,d",,added
27_3_C_22,III c  Baltic 22,,"Atlantic, Northeast / 27.3.c.22",
27_3_D,III d  (not specified),IIId,"Atlantic, Northeast / 27.3.d",
27_3_D_24,III d  Baltic 24,,"Atlantic, Northeast / 27.3.d.24",
27_3_D_25,III d  Baltic 25,,"Atlantic, Northeast / 27.3.d.25",
27_3_D_26,III d  Baltic 26,,"Atlantic, Northeast / 27.3.d.26",
27_3_D_27,III d  Baltic 27,,"Atlantic, Northeast / 27.3.d.27",
27_3_D_28,III d  Baltic 28 (not specified),,"Atlantic, Northeast / 27.3.d.28",
27_3_D_28_1,III d  Baltic 28-1,,"Atlantic, Northeast / 27.3.d.28.1",
27_3_D_28_2,III d  Baltic 28-2,,"Atlantic, Northeast / 27.3.d.28.2",
27_3_D_28_NK,,,"Atlantic, Northeast / 27.3.d.28 (not specified)",
27_3_D_29,III d  Baltic 29,,"Atlantic, Northeast / 27.3.d.29",
27_3_D_30,III d  Baltic 30,,"Atlantic, Northeast / 27.3.d.30",
27_3_D_31,III d  Baltic 31,,"Atlantic, Northeast / 27.3.d.31",
27_3_D_32,III d  Baltic 32,,"Atlantic, Northeast / 27.3.d.32",
27_3_D_NK,,,"Atlantic, Northeast / 27.3.d (not specified)",
27_3_NK,,,"Atlantic, Northeast / 27.3 (not specified)",
27_4,IV (not specified),IV,"Atlantic, Northeast / 27.4",
27_4_A,IV a,IVa,"Atlantic, Northeast / 27.4.a",
27_4_AB,IV a+b (not specified),"IVa,b","Atlantic, Northeast / 27.4.a and b",
27_4_AB_NK,,,"Atlantic, Northeast / 27.4.a and b (not specified)",
27_4_B,IV b,IVb,"Atlantic, Northeast / 27.4.b",
27_4_BC_NK,IV b+c (not specified),"IVb,c","Atlantic, Northeast / 27.4.b and c (not specified)",
27_4_C,IV c,IVc,"Atlantic, Northeast / 27.4.c",
27_4_NK,,,"Atlantic, Northeast / 27.4 (not specified)",
27_5,V (not specified),,"Atlantic, Northeast / 27.5",
27_5_A,,Va,"Atlantic, Northeast / 27.5.a",
27_5_A_1,V a1,,"Atlantic, Northeast / 27.5.a.1",
27_5_A_2,V a2,,"Atlantic, Northeast / 27.5.a.2",
27_5_A_NE,V a (North-East),Va_NE,"Atlantic, Northeast / 27.5.a North-East",
27_5_A_NK,V a (not specified),,"Atlantic, Northeast / 27.5.a (not specified)",
27_5_A_SW,V a (South-West),Va_SW,"Atlantic, Northeast / 27.5.a South-West",
27_5_B,,Vb,"Atlantic, Northeast / 27.5.b",
27_5_B_1,,,"Atlantic, Northeast / 27.5.b.1",
27_5_B_1_A,V b1A,,"Atlantic, Northeast / 27.5.b.1.a",
27_5_B_1_B,V b1B,,"Atlantic, Northeast / 27.5.b.1.b",
27_5_B_1_NK,V b1 (not specified),,"Atlantic, Northeast / 27.5.b.1 (not specified)",
27_5_B_2,V b2,,"Atlantic, Northeast / 27.5.b.2",
27_5_B_NK,V b (not specified),,"Atlantic, Northeast / 27.5.b (not specified)",
27_5_NK,,,"Atlantic, Northeast / 27.5 (not specified)",
27_6,,VI,"Atlantic, Northeast / 27.6",
27_6_A,VI a,VIa,"Atlantic, Northeast / 27.6.a",
27_6_B,,VIb,"Atlantic, Northeast / 27.6.b",
