id,date1,date2,lon1,lat1,lon2,lat2,towlength,depth,temperature,strata
30063,1985-03-08T23:15:00Z,1985-03-08T00:09:00Z,-20.4953333333333,65.7791666666667,-20.6221666666667,65.765,3.6,83,2.4,53
29923,1985-03-09T00:13:00Z,1985-03-09T01:22:00Z,-16.0401666666667,66.6806666666667,-16.0308333333333,66.7533333333333,4,193.5,3.7,57
30062,1985-03-09T01:25:00Z,1985-03-09T02:25:00Z,-20.5333333333333,65.9166666666667,-20.6016666666667,65.985,4,127.5,2.6,54
29931,1985-03-09T05:06:00Z,1985-03-09T06:06:00Z,-16.8036666666667,66.2626666666667,-16.682,66.3101666666667,4.2,199,3.7,57
29930,1985-03-09T07:03:00Z,1985-03-09T08:05:00Z,-16.6983333333333,66.3655,-16.7156666666667,66.4375,4.1,106,3.6,57
30061,1985-03-09T07:10:00Z,1985-03-09T08:10:00Z,-21.0311666666667,65.627,-21.0686666666667,65.5793333333333,3.4,115,NA,81
29725,1985-03-09T09:32:00Z,1985-03-09T10:19:00Z,-23.5435,65.0548333333333,-23.6625,65.0398333333333,3,259.5,2.2,51
30060,1985-03-09T11:15:00Z,1985-03-09T12:25:00Z,-20.75,65.9833333333333,-20.8,65.9166666666667,4,139.5,2.5,54
29929,1985-03-09T11:45:00Z,1985-03-09T12:48:00Z,-16.9488333333333,66.6668333333333,-16.8406666666667,66.6158333333333,4,223.5,3.8,58
29928,1985-03-09T13:15:00Z,1985-03-09T14:20:00Z,-16.8355,66.737,-16.7915,66.6686666666667,4,78,3.7,57
30059,1985-03-09T13:20:00Z,1985-03-09T14:15:00Z,-21,65.95,-21.1,65.9166666666667,3.3,198,3.4,85
29724,1985-03-09T13:38:00Z,1985-03-09T14:46:00Z,-23.7083333333333,65.0083333333333,-23.875,65,4,194.5,2.1,51
29927,1985-03-09T15:23:00Z,1985-03-09T16:31:00Z,-16.7883333333333,66.7561666666667,-16.7641666666667,66.8285,4.1,118,3.8,57
30058,1985-03-09T15:50:00Z,1985-03-09T16:55:00Z,-21.1,66.0833333333333,-21,66.1333333333333,4,153,3.7,85
29723,1985-03-09T16:25:00Z,1985-03-09T17:35:00Z,-23.9966666666667,64.9655,-23.85,65.0081666666667,4.1,240.5,2.4,21
29926,1985-03-09T17:32:00Z,1985-03-09T18:42:00Z,-16.6616666666667,66.7568333333333,-16.5986666666667,66.827,4,165.5,3.8,57
30057,1985-03-09T18:04:00Z,1985-03-09T19:04:00Z,-21.25,66.15,-21.2368333333333,66.0813333333333,4,101,1.7,82
29925,1985-03-09T19:54:00Z,1985-03-09T21:00:00Z,-16.502,66.7515,-16.3295,66.7528333333333,4,169,3.7,57
30056,1985-03-09T20:55:00Z,1985-03-09T22:00:00Z,-21.2833333333333,66.2833333333333,-21.15,66.2333333333333,4,122.5,3.6,85
29924,1985-03-09T22:15:00Z,1985-03-09T23:25:00Z,-16.4263333333333,66.657,-16.2435,66.6675,4,121.5,3.7,57
30055,1985-03-09T23:15:00Z,1985-03-09T00:25:00Z,-21.05,66.3333333333333,-21.05,66.2666666666667,4,144,4.2,85
30054,1985-03-10T02:35:00Z,1985-03-10T03:40:00Z,-21.4166666666667,66.4,-21.334,66.334,4.1,120.5,3.4,85
