id,species,n.counted,n.measured,n.total
48208,9,0,47,47
48206,28,701,263,964
48207,2,715,304,1019
48207,12,0,92,92
48206,2,0,253,253
48206,5,0,22,22
48206,12,0,98,98
48206,23,0,23,23
48204,28,994,184,1178
48205,1,0,46,46
48205,5,0,1,1
48205,9,0,1,1
48205,28,797,200,997
48202,28,0,46,46
48203,2,1400,387,1787
48203,5,0,217,217
48203,12,0,6,6
48203,28,0,201,201
48204,2,0,183,183
48204,23,0,8,8
48202,2,0,104,104
48202,9,0,90,90
48494,3,0,3,3
48494,5,0,129,129
48494,12,0,13,13
48495,1,0,471,471
48495,2,0,232,232
48495,5,0,135,135
48493,1,0,153,153
48493,2,0,41,41
48493,5,154,224,378
48491,28,0,127,127
48492,3,0,3,3
48492,5,0,35,35
48492,23,0,1,1
48492,28,0,15,15
48490,28,0,9,9
48491,1,0,188,188
48491,2,0,91,91
48491,5,0,136,136
48491,9,0,9,9
48488,12,0,56,56
48489,2,0,1,1
48489,5,0,39,39
48489,12,0,49,49
48489,28,0,60,60
48490,5,0,44,44
48486,1,0,432,432
48486,2,0,13,13
48486,9,0,206,206
48487,1,0,190,190
48487,2,0,199,199
48487,12,0,36,36
48485,1,0,205,205
48485,5,0,125,125
48485,12,0,135,135
48484,2,0,264,264
48484,5,0,31,31
48484,12,0,50,50
48059,1,274,274,548
48059,5,0,175,175
48059,12,0,6,6
48059,28,0,108,108
48058,1,0,206,206
48058,9,0,1,1
48058,12,0,17,17
48055,2,0,63,63
48055,5,0,70,70
48055,60,0,11,11
48056,5,0,62,62
48056,28,0,9,9
48057,1,736,288,1024
48057,5,0,19,19
48057,12,0,17,17
48057,28,0,84,84
48055,1,0,4,4
48053,1,0,1,1
48054,1,0,245,245
48052,2,158,90,248
48052,60,0,1,1
48051,12,0,17,17
48051,28,0,56,56
48051,60,0,56,56
48048,28,3,1,4
48049,9,0,3,3
48049,23,0,4,4
48050,2,0,61,61
48050,3,0,2,2
48050,9,0,10,10
48051,1,0,9,9
48051,2,0,175,175
48046,60,0,7,7
48047,9,0,1,1
48482,3,0,1,1
48482,12,0,47,47
48483,1,0,179,179
48483,2,0,14,14
48483,5,0,36,36
48483,12,0,47,47
48483,28,0,196,196
48484,1,0,255,255
48479,23,0,2,2
48479,28,0,27,27
48480,5,0,113,113
48480,9,0,26,26
48481,2,0,21,21
48481,5,0,281,281
48481,9,0,120,120
48481,12,0,21,21
48482,1,1422,509,1931
48478,28,0,30,30
48479,1,0,150,150
48479,9,0,19,19
48479,12,0,1,1
48477,5,0,47,47
48477,12,0,7,7
48478,1,0,142,142
48478,12,0,7,7
48475,5,261,103,364
48476,5,0,6,6
48476,12,0,3,3
48476,28,0,4,4
48473,1,0,6,6
48473,12,0,23,23
48474,12,0,13,13
48474,28,0,111,111
48472,1,0,72,72
48472,5,0,163,163
48472,28,0,196,196
48470,9,0,7,7
48470,12,0,50,50
48471,5,248,83,331
48471,28,0,177,177
48047,12,17,1,18
48048,1,0,48,48
48048,2,89,89,178
48048,9,0,1,1
48048,23,3,1,4
48045,3,0,2,2
48045,12,2,5,7
48045,28,0,34,34
48045,60,0,1,1
48046,1,0,64,64
48043,12,0,2,2
48044,1,0,2,2
48045,1,0,65,65
48041,12,0,9,9
48041,28,0,19,19
48042,3,0,3,3
48042,5,0,145,145
48042,12,0,1,1
48043,5,0,6,6
48041,1,0,63,63
48039,28,0,28,28
48040,1,0,97,97
48040,28,0,11,11
48038,60,0,2,2
48039,1,0,94,94
48039,3,0,12,12
48039,9,0,4,4
48036,28,0,25,25
48037,1,0,14,14
48037,12,0,13,13
48037,28,0,6,6
48469,5,0,21,21
48469,12,0,10,10
48469,23,0,7,7
48470,1,0,207,207
48470,2,0,1,1
48470,5,0,80,80
48467,1,0,67,67
48467,5,0,1,1
48467,9,0,1,1
48467,12,0,54,54
48467,23,0,54,54
48468,2,369,218,587
48468,5,0,7,7
48468,23,0,10,10
48469,1,0,34,34
48465,28,990,185,1175
48466,1,247,127,374
48466,5,0,5,5
48466,12,0,23,23
48466,28,750,154,904
48464,9,0,65,65
48465,2,8183,217,8400
48465,5,0,1,1
48465,12,0,105,105
48463,28,0,263,263
48464,1,0,70,70
48464,5,0,228,228
48462,1,0,13,13
48462,12,0,66,66
48462,23,0,33,33
48463,1,0,56,56
48463,2,1616,269,1885
48463,12,0,10,10
48459,5,0,28,28
48460,1,0,48,48
48460,5,0,14,14
48460,9,0,10,10
48460,12,0,29,29
48460,28,896,114,1010
48461,2,4938,256,5194
48038,3,0,2,2
48038,5,0,2,2
48038,28,0,8,8
48035,1,0,33,33
48035,12,0,5,5
48035,28,0,10,10
48035,60,0,15,15
48036,1,0,14,14
48036,3,0,1,1
47970,9,0,82,82
47970,12,0,19,19
47970,28,0,29,29
47969,2,0,7,7
48461,12,0,63,63
48461,23,0,72,72
48458,28,0,24,24
48459,2,486,229,715
48458,1,0,132,132
48458,2,0,4,4
48458,9,0,476,476
48458,12,0,11,11
48456,23,0,3,3
48456,28,0,171,171
48457,1,0,302,302
48457,5,456,252,708
48457,9,0,405,405
48454,5,0,49,49
48454,12,0,125,125
48454,28,0,151,151
48455,1,0,204,204
48455,2,0,96,96
48455,5,0,94,94
48455,12,0,129,129
48455,28,20,201,221
48456,1,0,124,124
48456,2,0,98,98
48456,5,0,92,92
48456,9,0,8,8
48454,2,0,2,2
48453,1,0,84,84
48453,9,0,6,6
48452,1,752,296,1048
48452,2,0,26,26
48452,9,0,13,13
48452,12,0,3,3
48452,28,0,56,56
48451,12,0,81,81
48451,28,0,222,222
48449,2,0,30,30
48449,5,0,73,73
48449,12,0,15,15
48450,1,425,315,740
48450,2,0,153,153
48450,9,0,66,66
48450,23,0,1,1
47969,3,0,1,1
47969,9,0,64,64
47905,1,0,17,17
47903,5,0,63,63
47903,9,0,29,29
47903,23,0,16,16
47903,28,0,9,9
47902,9,0,21,21
47902,23,352,88,440
47902,28,124,31,155
47903,1,0,55,55
47900,28,0,8,8
47900,60,0,25,25
47901,2,0,853,853
47901,5,331,112,443
47901,9,0,3,3
47901,23,15,10,25
47901,28,54,36,90
47901,60,92,46,138
47902,2,0,124,124
47899,2,162,120,282
47899,5,104,19,123
47899,12,0,2,2
47899,23,0,1,1
47899,28,320,80,400
47900,2,0,17,17
47900,3,0,1,1
47900,12,0,1,1
47898,28,92,92,184
47899,1,0,111,111
47897,28,0,25,25
47897,60,64,35,99
47898,1,0,16,16
47898,3,0,1,1
47898,5,156,104,260
47898,9,0,5,5
47898,12,0,1,1
47896,23,0,5,5
47896,60,0,7,7
47897,2,0,112,112
47897,3,0,1,1
47894,60,0,130,130
47895,1,0,17,17
47895,3,0,1,1
48450,28,0,79,79
48447,9,0,6,6
48447,12,0,41,41
48448,2,0,2,2
48448,12,0,77,77
48448,28,0,109,109
48446,1,0,8,8
48446,12,0,8,8
48446,28,0,13,13
48445,12,0,10,10
48443,12,0,19,19
48444,2,0,11,11
48444,9,0,12,12
48441,9,0,4,4
48441,23,0,2,2
48441,28,64,315,379
48442,1,0,226,226
48442,2,46,88,134
48442,9,0,17,17
48442,12,0,56,56
48443,1,0,88,88
48443,5,0,134,134
48441,1,0,129,129
48441,5,0,101,101
48439,28,0,112,112
48440,1,0,107,107
48440,2,0,45,45
48440,5,0,239,239
48440,9,0,23,23
48440,12,0,4,4
48440,23,0,1,1
48440,28,0,54,54
48437,28,0,131,131
48438,2,0,171,171
48438,9,0,4,4
48438,12,0,30,30
48439,1,0,97,97
48439,2,238,191,429
48439,9,0,3,3
48435,23,0,6,6
48435,28,0,49,49
47895,12,0,4,4
47895,23,0,2,2
47895,28,0,153,153
47896,3,0,267,267
47896,5,910,174,1084
47894,28,29,29,58
47893,12,0,2,2
47893,60,30,15,45
47894,1,0,41,41
47894,5,604,150,754
47894,12,0,9,9
47894,23,0,44,44
47892,60,7,7,14
47893,1,426,113,539
47893,3,0,1,1
47891,60,0,51,51
47892,1,0,37,37
47892,2,0,133,133
47892,9,0,50,50
47890,9,0,4,4
47890,12,0,19,19
47890,23,4,4,8
47891,2,390,268,658
47891,3,597,216,813
47891,12,0,6,6
47891,23,0,17,17
47888,23,18,6,24
47888,28,192,64,256
47889,3,0,10,10
47889,23,10,5,15
47889,28,36,18,54
47889,60,0,4,4
47890,1,0,16,16
47890,3,0,11,11
47890,5,161,115,276
47888,5,0,13,13
47887,2,0,302,302
47887,5,354,118,472
47887,9,0,9,9
47887,23,34,17,51
48436,1,0,178,178
48436,2,0,55,55
48436,3,0,1,1
48436,9,0,360,360
48436,28,0,35,35
48437,5,73,186,259
48437,9,0,48,48
48437,12,0,48,48
48435,12,0,16,16
48434,2,0,9,9
48434,3,0,1,1
48434,9,0,228,228
48434,12,0,7,7
48435,3,0,1,1
48435,5,421,232,653
48435,9,0,346,346
48433,1,0,127,127
48433,9,0,23,23
48433,28,0,137,137
48431,28,0,46,46
48432,1,0,8,8
48432,2,0,47,47
48432,9,0,16,16
48430,5,0,166,166
48430,12,0,19,19
48430,28,0,44,44
48431,5,0,212,212
48428,23,0,4,4
48429,2,0,76,76
48429,3,0,14,14
48429,9,0,49,49
48429,23,0,1,1
48429,28,0,28,28
48430,3,0,2,2
48428,3,0,7,7
48428,9,0,13,13
48428,12,0,1,1
48427,1,0,16,16
48427,5,1992,253,2245
48427,12,0,3,3
48427,28,0,40,40
47888,1,0,218,218
47888,2,424,175,599
47945,9,0,19,19
47945,12,0,108,108
47945,60,0,2,2
47946,1,0,9,9
47946,5,0,78,78
47946,9,0,12,12
47946,12,0,10,10
47946,23,0,1,1
47946,28,0,296,296
47944,12,0,8,8
47943,12,0,4,4
47944,1,0,5,5
47944,2,738,133,871
47944,5,0,21,21
47944,9,0,2,2
47941,5,0,38,38
47941,60,68,166,234
47942,2,0,479,479
47942,5,0,6,6
47942,28,0,82,82
47943,1,0,11,11
47938,5,193,84,277
47938,9,0,2,2
47938,60,1353,12,1365
47939,1,0,1,1
47939,28,0,23,23
47940,1,0,1,1
47940,5,0,4,4
47940,28,0,78,78
47940,60,0,6,6
47938,3,7,11,18
47936,60,0,23,23
47937,1,0,4,4
47937,2,160,148,308
47937,28,0,29,29
47935,28,0,57,57
47936,1,0,9,9
47936,2,2084,352,2436
47936,5,517,206,723
47969,28,0,106,106
47969,60,0,4,4
47970,2,0,10,10
47970,5,0,80,80
47966,2,0,428,428
47966,3,0,2,2
47966,5,0,35,35
47966,12,0,3,3
47966,23,0,1,1
47966,28,0,77,77
47967,1,0,100,100
47967,5,0,69,69
47967,9,0,56,56
47967,23,0,1,1
47967,28,0,90,90
47968,2,0,3,3
47968,5,0,56,56
47968,9,0,23,23
47968,12,0,6,6
47968,28,0,91,91
47968,60,0,5,5
47966,1,0,59,59
47963,23,0,2,2
47963,28,0,47,47
47964,1,0,42,42
47964,2,0,55,55
47964,9,0,17,17
47964,28,0,11,11
47964,60,0,1,1
47965,2,0,27,27
47965,9,0,2,2
47962,60,0,22,22
47963,1,0,85,85
47963,3,0,2,2
47963,5,534,148,682
47963,9,0,33,33
47963,12,0,28,28
47961,12,0,25,25
47961,28,0,35,35
47961,60,0,2,2
47962,1,0,52,52
47962,5,0,6,6
47960,2,0,125,125
47960,3,0,1,1
47960,12,0,23,23
47960,60,0,5,5
47961,2,0,110,110
47961,3,0,2,2
47961,9,0,3,3
47957,60,0,133,133
47958,2,0,36,36
47958,5,0,81,81
47958,9,0,54,54
47958,12,0,23,23
47958,23,0,3,3
47958,28,0,29,29
47959,1,0,78,78
47959,2,0,47,47
47959,9,0,20,20
47959,12,0,65,65
47957,12,0,33,33
47957,23,0,10,10
47935,1,0,6,6
47935,2,2335,439,2774
47935,9,0,49,49
47933,9,0,1,1
47933,60,0,88,88
